,text,sentiment,pred
0,"@dieLinke In dem Wissen, dass man bei der Wahl eh nichts erreicht und somit nichts von dem umsetzen kann, was hier aufgelistet ist, kann man natürlich alles fordern/versprechen 🤣",1,1
1,"@Delbertalexan10 @cosmopolitan_jw @BetMueller @OlafScholz @spdde Genau diese Posts, diese geistige Brandstiftung führt zu Halle, Hanau, oder dem Lübke morgen. Hören Sie auf mit Ihrer Hetze",1,1
2,"@MiYagi83053006 @polenz_r @berndulrich @cem_oezdemir Welche Gründe sollen das sein?  Und wenn wir alle wirklich nur ab und zu Fleisch essen würden, hätten wir eh weit weniger Probleme.  Ich lebe selber auch noch nicht komplett vegetarisch aber esse nur noch sehr selten Fleisch.",2,2
3,@PetrBystronAfD Ja. Und dann? 😔,2,2
4,Was macht eigentlich jetzt @DoroBaer? Im Bundestag sitzen und auf besch... Digitalisierung schimpfen? Sie sitzt ja jetzt wieder auf der anderen Seite. Da ist man grundsätzlich immer gegen alles...,1,1
5,@LukTBrand @KonstantinNotz Muss den Anfang glaub ich nochmal schauen. Hab über bestimmt 1 Jahr immer nur mal wieder eine Folge geschaut,2,2
6,"""Wenn eine bestimmte Komplexität erreicht ist, dann steigt das Potenzial zur Zerstörung sehr viel schneller als das Potenzial der Erneuerung. Ich fürchte, dass Fermi recht haben könnte""   Fermi-Paradoxon  siehe Interview @Karl_Lauterbach  @HoheLuftMagazin   https://t.co/l2DizNIDVn",1,2
7,@KathaZachi @gwalthi @KuehniKev Scheinbar hat er und sein Kumpane Oberblender Lindner mit seiner Taschen voll Partei ein As im Ärmel. Die Wahl ist entschieden ich werde Finanzminister.Weg damit in 36 Tagen ist die Union FDP  Geschichte.Raffkes aus dem Bundestag.,1,1
8,"Laschet macht #Wahlkampf für #RotRotGrün: Stimmt wohl, die Schnittmengen bei sozialen Themen, Steuerpolitik und Klimaschutz sind riesig. Ist übrigens nix, wofür man sich schämen muss, liebe @spdde und @Die_Gruenen ;-) #WeilAlleZählen #ZusammenVerändern #Triell #TVTriell",2,0
9,"@Ankelotte2018 @leonie_stella9 @TFruehmark @OlafScholz @Karl_Lauterbach Ich finde, eine paritätische Besetzung des Kabinetts #Scholz relevant &amp; ich sch*** da nicht drauf. Doch der #FDP zu gestatten 3 Männer &amp; nur 1 Frau zu benennen &amp; dafür #Lauterbach zu opfern, ist wirklich bizarr! #SPD #kabinettsliste #wirwollenKarl #wirbrauchenKarl",1,1
